folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
103v,8,6,,,"9,M,c,c,9","4,o,N,c,c,9","c^c,c,c,M,9","o,M,c,c,9","x,c^c,c,8,9","o,M,c,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,9,1,R,6,"P1,cc,c,o,8,9","a,Z,a,Z","o,N,c,c,9","o,N,c,c,9","x,cc,c,8,9","o,M,c,a,x","x,P2,a,Z","o,M,c,8,9","4,o,M,a,Z","o,M,a,Z","9,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,9,2,,,"8,a,m","cc,c,c,N,c,9","9,N,c,c,9","c^c,c,N,c,9","o,M,c,a,x","c^c,c,9","o,N,a,n","cc,c,9","o,N,c,c,8,9","P2,o,Z","a,m",9,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,9,3,,,"o,x,cc,c,c,9","cc,c,9","x,N,c,c,8,9","c^c,o","cc,c,M,c,9","2,a,x","a,Z,a,m","4,o,N,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,10,1,W,8,"P2,cc,c,a,Z","o,N,a,n","o,P2,cc,c,8,9","P2,cc,o,x","P1,cc,c,8,9","o,M,c,8,9","P2,o,x,9","x,cc,c,8,9","P1,cc,c,8,c,9","Z,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,10,2,,,"o,N,c,c,9",x,"cc,c,9","4,o,N,c,c,9",o,"4,o,N,c,c,9","cc,c,8,9","4,c,N,cc,9","8,a,m","cc,c,N,c,9","2,a,Z","o,x,a,n,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,10,3,,,"4,o,N,c,c,c,9","cc,c,9","4,o,M,c,9","cc,o,N,a,m","c^c,a,x","cc,c,8,9","o,x,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,11,1,R,8,"9,c^c,c,9","x,N,c,c,9","4,o,N,a,n","o,N,c,9","o,N,a,m","cc,c,o,8,9","o,M,c,9","c^c,8","P2,cc,9","o,P2,cc,c,9","o,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,11,2,,,"8,a,m","c^c,c,c,9","o,x","cc,c,9","4,o,N,c^c,c,9","4,o,N,a,m","cc,c,c,N,c,9","o,M,c,8,9","x,c^c,c,9","x,cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,11,3,,,"4,o,x","c^c,c,9","9,N,c,c,9","o,N,c,c,9","x,c^c,c,9","c^c,c,c,N,c,9","cc,M,a,n","o,M,9","o,N,c,8,9","o,M,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,11,4,,,"2,a,m","c^c,c,9","4,o,N,c,c,9","o,c^c,c,9","o,x,c^c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,12,1,W,8,"o,x,c^c,c,9","4,o,N,a,n","o,x","c^c,?,9","4,o,N,c,c^c,c","x,c^c,c,o,N","c^c,8,9","4,c,P2,c,c,9","cc,c,M,9","8,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,12,2,,,"o,M,c,c,9",x,"cc,c,c,2","o,x","cc,c,9","cc,c,9","cc,o,x","N,c,c,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,13,1,R,7,"P2,o,x,c^c,o,Z","N,c,c,o,x,c^c,c,9","o,N,c,9","x,cc,a,Z,a,Z","c^c,o,x","o,N,c,c,8,a,Z","c^c,c,Z","o,m","o,M,9","x,cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,13,2,,,"9,M,c,c,9","c^c,c,a,x","c^c,c,9","4,o,a,n","o,x","N,c,c,9","4,o,N,a,n","c^c,c,N,c,9","x,cc,c,8,9","Z,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,13,3,,,"8,a,n?","c^c,c,9","x,c^c,c,9","x,c^c,c,9","4,o,a,Z","c^c,a,i?","a,x","o,M,a,Z","c^c,c,8,9","?,M,c,9","x,cc,8,9","Z,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,13,4,,,"9,c^c,c,9","c^c,c,9,N,a,n","cc,c,9","Z,a,Z","a,Z,o,x","cc,2?,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
