line,0,1,swap,n,n2
111r.8.1,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
112r.2.1,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
11v.1.2,"8,a,m","8,a,Q",m → Q,11,6
22v.2.3,"8,a,m","8,a,Q",m → Q,11,6
23r.1.2,"8,a,m","8,a,Q",m → Q,11,6
32r.2.3,"8,a,m","8,a,Q",m → Q,11,6
34r.3.3,"8,a,m","8,a,Q",m → Q,11,6
42r.2.7,"8,a,m","8,a,Q",m → Q,11,6
108v.5.4,"a,m","a,Q",m → Q,11,4
111v.1.15,"a,m","a,Q",m → Q,11,4
112v.4.1,"a,m","a,Q",m → Q,11,4
114v.8.2,"a,m","a,Q",m → Q,11,4
76r.1.1,"cc,c,P2,c,9","cc,c,P2,8,9",$ → 8,11,1
104v.4.1,"o,M,c,c,c,9","o,M,c,c,8,9",$ → 8,11,1
40v.1.3,"o,N,a,m","o,N,a,Q",m → Q,11,1
13r.1.2,"cc,o,x","8,o,x",cc → 8,10,6
17v.1.5,"cc,o,x","8,o,x",cc → 8,10,6
20r.2.3,"cc,o,x","8,o,x",cc → 8,10,6
32r.1.3,"cc,o,x","8,o,x",cc → 8,10,6
88r.6.6,"cc,o,x","8,o,x",cc → 8,10,6
101r.3.4,"cc,o,x","8,o,x",cc → 8,10,6
31v.1.3,o,x,o → x,10,4
105v.10.2,o,x,o → x,10,4
111v.1.17,o,x,o → x,10,4
115v.12.2,o,x,o → x,10,4
4r.2.8,"cc,a,m","8,a,m",cc → 8,10,2
11r.1.3,"cc,a,m","8,a,m",cc → 8,10,2
79v.7.1,"o,N,c,c,9","x,N,c,c,9",o → x,10,2
108r.12.1,"o,N,c,c,9","x,N,c,c,9",o → x,10,2
16v.2.4,"cc,9","8,9",cc → 8,10,1
45r.3.2,"cc,a,n","8,a,n",cc → 8,10,1
81v.2.2,"o,N,9","x,N,9",o → x,10,1
107r.2.3,"o,M,c,c,9","x,M,c,c,9",o → x,10,1
108r.3.2,"o,N,c,8,9","x,N,c,8,9",o → x,10,1
111r.14.5,"o,N,c,c,8,9","x,N,c,c,8,9",o → x,10,1
17v.1.20,"9,N,c,c,9","o,N,c,c,9",$ → o,9,4
79r.6.1,"9,N,c,c,9","o,N,c,c,9",$ → o,9,4
102rb.3.4,"9,N,c,c,9","o,N,c,c,9",$ → o,9,4
