line,t1,t2,t3,n
106r.13.1,"P2,c^c,c,o,8,a,x,o","8,a,Z","c^c,c,o,8,a,x",1
106r.14.1,"P2,c^c,o,8,a,m","o,P2,cc,9","c^c,o,M,c,c,o,8,9",1
106v.6.1,"P2,c^c,o,8,a,x,o,2","4,o,N,c^c,8,9","4,o,N,c^c,9",1
106r.4.1,"P2,c^c,o,a,i,2","x,N,c,c,c^c,c,8,9","4,o,N,a,n",1
105r.6.1,"P2,cc,2,c,8","c^c,c,c,P1,9","o,P2,cc,c,9",1
104r.1.1,"P2,cc,8,a,Z","cc,c,8,9","cc,a,Z",1
115v.5.1,"P2,cc,8,a,Z,o,8,9","P2,cc,c,c,8","Z,a,Z",1
104v.1.1,"P2,cc,8,o,m","o,P2,cc,c,c,8,9","o,Z,a,Z",1
114v.1.1,"P2,cc,8,o,x","8,a,Z","cc,c,8,a,n",1
107r.1.1,"P2,cc,8,x,a,Z","c^c,c,o,x,o,Z","9,N,c,c,o,x",1
116r.6.1,"P2,cc,a,Z,a,x,o,Z","4,o,N,c,9",Z,1
103v.3.1,"P2,cc,a,x,c^c,a,x","c^c,o,Z,cc,8,9","o,N,c,a,Z",1
116r.7.1,"P2,cc,a,x,x,o,Z,o,Z","a,x","c,N,c,a,x",1
113r.1.1,"P2,cc,c,2,P1,cc,9","9,P2,cc,c,c,8,9","P1,cc,8,9",1
103r.14.1,"P2,cc,c,8,9","4,o,N,c,c,9","4,o,N,c,o,8,a,i,Z",1
114r.9.1,"P2,cc,c,8,a,i,Z,2","o,c,a,i,x","cc,o,M,a,2",1
103r.1.1,"P2,cc,c,8,a,x,c^c,8,9","9,M,c,c,cc,9,P2,cc,9","o,M,c,9",1
114v.3.1,"P2,cc,c,8,cc,8,9","4,o,M,c,c,8,9","4,o,N,c,8,a,n",1
103r.8.1,"P2,cc,c,a,Q","2,o,N,c,8,9","8,a,x,N,a,Z",1
103v.10.1,"P2,cc,c,a,Z","o,N,a,n","o,P2,cc,c,8,9",1
108r.16.1,"P2,cc,c,c,8,9","4,o,N,c,o",x,1
113v.3.1,"P2,cc,c,c^c,8","M,c,o,8,9","x,N,c,c,o,8,9",1
115v.8.1,"P2,cc,c,o","cc,c,c,o,8,9","4,o,M,c,c,o,M,cc,9",1
114r.11.1,"P2,cc,c,o,2","a,i,2","o,9",1
113r.4.1,"P2,cc,c,o,8,9","4,o,N,c,o,8,9","cc,c,o,a,Z",1
106r.15.1,"P2,cc,c,o,8,a,Z","c^c,o,x,N,a,n","o,N,c^c,cc,c,8,9",1
106r.2.1,"P2,cc,c,o,8,a,i,Z","o,N,cc,c,8,9","o,x,N,c,c,c,8,9",1
113r.15.1,"P2,cc,c,o,8,a,m","c^c,o,x,N,c,c,cc,9","o,Z",1
115r.6.1,"P2,cc,c,o,8,a,n","4,o,N,cc,c,9","4,o,M,cc,c,8,9",1
114v.9.1,"P2,cc,c,o,8,a,x","cc,c,o,P2,cc,c,o,8","4,o,M,o",1
112v.2.1,"P2,cc,c,o,N,c,c,9","o,c,c,c,N,9","4,o,M,c,c,8,9",1
113r.14.1,"P2,cc,c,o,c,N,c,9","x,N,cc,c,9","4,o,P1,c^c,c,c,c,9",1
113r.6.1,"P2,cc,c,o,o,Z","o,x,N,c,c,8,9","4,o,N,c,c,8,9",1
