token,cluster,freq,token_len
"4,o,N,a,Z,8,9",7,2,7
"4,o,N,a,Z,a,Q",6,1,7
"4,o,N,a,c,N,c,c,c,9",6,1,10
"4,o,N,a,i",6,7,5
"4,o,N,a,i,2",4,2,6
"4,o,N,a,i,9",7,1,6
"4,o,N,a,i,Q?",8,1,6
"4,o,N,a,i,Z",7,17,6
"4,o,N,a,i,Z,9,8,a,Q",8,1,10
"4,o,N,a,i,x",4,1,6
"4,o,N,a,i?",6,1,5
"4,o,N,a,m",7,255,5
"4,o,N,a,m+",7,2,5
"4,o,N,a,m,o,2",7,1,7
"4,o,N,a,m?",6,1,5
"4,o,N,a,n",4,284,5
"4,o,N,a,n,Z",4,3,6
"4,o,N,a,n?",6,1,5
"4,o,N,a,o,9",4,1,6
"4,o,N,a,x",4,188,5
"4,o,N,a,x,2",7,1,6
"4,o,N,a,x,8,9",7,10,7
"4,o,N,a,x,8,a,Z",7,1,8
"4,o,N,a,x,9",4,16,6
"4,o,N,a,x,N,c,o,x",4,1,9
"4,o,N,a,x,a,Q",9,1,7
"4,o,N,a,x,a,Z",4,1,7
"4,o,N,a,x,c^c,c,8,9",4,1,9
"4,o,N,a,x,cc,8,9",0,2,8
"4,o,N,a,x,cc,a,Z",8,1,8
"4,o,N,a,x,cc,a,x",8,1,8
"4,o,N,a,x,cc,c,9",4,1,8
"4,o,N,a,x,cc,c,a,x",8,1,9
"4,o,N,a,x,o,2",7,1,7
"4,o,N,a,x,o,Q",4,1,7
"4,o,N,a,x,o,Z",0,3,7
"4,o,N,a,x,o,Z,o",0,1,8
"4,o,N,a,x,o,x",4,1,7
"4,o,N,c,2",9,1,5
"4,o,N,c,2,8",8,1,6
"4,o,N,c,2,8,9",4,1,7
"4,o,N,c,8",0,7,5
"4,o,N,c,8,9",1,267,6
"4,o,N,c,8,9,8,9",0,1,8
"4,o,N,c,8,?",1,1,6
"4,o,N,c,8,a,Q",1,2,7
"4,o,N,c,8,a,Z",1,8,7
"4,o,N,c,8,a,m",6,3,7
"4,o,N,c,8,a,n",0,4,7
"4,o,N,c,8,a,x",1,4,7
"4,o,N,c,8,c,8,9",1,1,8
"4,o,N,c,8,x,9",6,1,7
"4,o,N,c,9",4,104,5
"4,o,N,c,9,2",0,1,6
"4,o,N,c,9,N,c,c,8,9",4,1,10
"4,o,N,c,?,8,9",1,2,7
"4,o,N,c,?,9",4,1,6
"4,o,N,c,?,m?",0,1,6
"4,o,N,c,?,x",2,1,6
"4,o,N,c,Q",1,1,5
"4,o,N,c,a,2",4,1,6
"4,o,N,c,a,Z",4,8,6
"4,o,N,c,a,m",0,2,6
"4,o,N,c,a,n",4,2,6
"4,o,N,c,a,x",4,5,6
"4,o,N,c,a,x,8,9",4,1,8
"4,o,N,c,c,2",1,8,6
"4,o,N,c,c,8",0,17,6
"4,o,N,c,c,8,9",0,307,7
"4,o,N,c,c,8,a,Z",0,5,8
"4,o,N,c,c,8,a,i,Z",7,1,9
"4,o,N,c,c,8,a,m",9,1,8
"4,o,N,c,c,8,a,n",0,3,8
"4,o,N,c,c,8,a,x",4,3,8
